id	name	description	synonyms	organism
ENSG00000002834	LASP1	LIM and SH3 protein 1 [Source:HGNC Symbol;Acc:HGNC:6513]	["ENTREZ:3927", "HGNC:6513", "LASP1", "LIM and SH3 protein 1", "Lasp-1", "MIM:602920", "MLN50", "NM_001271608", "NM_006148", "NP_001258537", "NP_006139", "NR_073384"]	NCBI:txid9606
ENSG00000003393	ALS2	alsin Rho guanine nucleotide exchange factor ALS2 [Source:HGNC Symbol;Acc:HGNC:443]	["ALS2", "ALS2CR6", "ALSJ", "ENTREZ:57679", "HGNC:443", "IAHSP", "MIM:606352", "NM_001135745", "NM_020919", "NP_001129217", "NP_065970", "PLSJ", "XM_006712654", "XM_006712655", "XM_017004569", "XM_017004570", "XM_017004572", "XM_024453024", "XM_024453025", "XP_006712717", "XP_006712718", "XP_016860058", "XP_016860059", "XP_016860061", "XP_024308792", "XP_024308793", "XR_001738864", "XR_001738865", "XR_001738866", "XR_001738867", "XR_002959320", "alsin Rho guanine nucleotide exchange factor ALS2"]	NCBI:txid9606
ENSG00000003400	CASP10	caspase 10 [Source:HGNC Symbol;Acc:HGNC:1500]	["ALPS2", "CASP10", "ENTREZ:843", "FLICE-2", "FLICE2", "HGNC:1500", "MCH4", "MIM:601762", "NM_001206524", "NM_001206542", "NM_001230", "NM_001306083", "NM_032974", "NM_032976", "NM_032977", "NP_001193453", "NP_001193471", "NP_001221", "NP_001293012", "NP_116756", "NP_116758", "NP_116759", "XM_005246907", "XM_006712796", "XM_011511990", "XP_005246964", "XP_006712859", "XP_011510292", "XR_923043", "XR_923044", "caspase 10"]	NCBI:txid9606
ENSG00000003436	TFPI	tissue factor pathway inhibitor [Source:HGNC Symbol;Acc:HGNC:11760]	["ENTREZ:7035", "EPI", "HGNC:11760", "LACI", "MIM:152310", "NM_001032281", "NM_001318941", "NM_001329239", "NM_001329240", "NM_001329241", "NM_006287", "NP_001027452", "NP_001305870", "NP_001316168", "NP_001316169", "NP_001316170", "NP_006278", "TFI", "TFPI", "TFPI1", "XM_006712720", "XM_011511709", "XM_024453058", "XM_024453059", "XM_024453060", "XM_024453061", "XM_024453062", "XP_006712783", "XP_011510011", "XP_024308826", "XP_024308827", "XP_024308828", "XP_024308829", "XP_024308830", "tissue factor pathway inhibitor"]	NCBI:txid9606
ENSG00000003987	MTMR7	myotubularin related protein 7 [Source:HGNC Symbol;Acc:HGNC:7454]	["ENTREZ:9108", "HGNC:7454", "MIM:603562", "MTMR7", "NM_004686", "NP_004677", "XM_006716414", "XM_011544693", "XM_017013956", "XM_024447325", "XP_006716477", "XP_011542995", "XP_016869445", "XP_024303093", "myotubularin related protein 7"]	NCBI:txid9606
ENSG00000004399	PLXND1	plexin D1 [Source:HGNC Symbol;Acc:HGNC:9107]	["ENTREZ:23129", "HGNC:9107", "MIM:604282", "NM_015103", "NP_055918", "PLEXD1", "PLXND1", "XM_011512588", "XM_011512589", "XM_011512590", "XM_011512592", "XP_011510890", "XP_011510891", "XP_011510892", "XP_011510894", "XR_001740063", "XR_924116", "plexin D1"]	NCBI:txid9606
ENSG00000004455	AK2	adenylate kinase 2 [Source:HGNC Symbol;Acc:HGNC:362]	["ADK2", "AK2", "ENTREZ:204", "HGNC:362", "MIM:103020", "NM_001199199", "NM_001319139", "NM_001319140", "NM_001319141", "NM_001319142", "NM_001319143", "NM_001625", "NM_013411", "NP_001186128", "NP_001306068", "NP_001306069", "NP_001306070", "NP_001306071", "NP_001306072", "NP_001616", "NP_037543", "NR_134976", "XR_001737036", "XR_246248", "adenylate kinase 2"]	NCBI:txid9606
ENSG00000004487	KDM1A	lysine demethylase 1A [Source:HGNC Symbol;Acc:HGNC:29079]	["AOF2", "BHC110", "CPRF", "ENTREZ:23028", "HGNC:29079", "KDM1", "KDM1A", "LSD1", "MIM:609132", "NM_001009999", "NM_001363654", "NM_015013", "NP_001009999", "NP_001350583", "NP_055828", "XM_005245786", "XM_006710473", "XM_006710474", "XM_017000716", "XM_017000717", "XP_005245843", "XP_006710536", "XP_006710537", "XP_016856205", "XP_016856206", "lysine demethylase 1A"]	NCBI:txid9606
ENSG00000004776	HSPB6	heat shock protein family B (small) member 6 [Source:HGNC Symbol;Acc:HGNC:26511]	["ENTREZ:126393", "HEL55", "HGNC:26511", "HSPB6", "Hsp20", "MIM:610695", "NM_144617", "NP_653218", "PPP1R91", "heat shock protein family B (small) member 6"]	NCBI:txid9606
ENSG00000004838	ZMYND10	zinc finger MYND-type containing 10 [Source:HGNC Symbol;Acc:HGNC:19412]	["BLU", "CILD22", "DNAAF7", "ENTREZ:51364", "FLU", "HGNC:19412", "MIM:607070", "NM_001308379", "NM_015896", "NP_001295308", "NP_056980", "XM_005265216", "XP_005265273", "ZMYND10", "zinc finger MYND-type containing 10"]	NCBI:txid9606
ENSG00000004848	ARX	aristaless related homeobox [Source:HGNC Symbol;Acc:HGNC:18060]	["ARX", "CT121", "EIEE1", "ENTREZ:170302", "HGNC:18060", "ISSX", "MIM:300382", "MRX29", "MRX32", "MRX33", "MRX36", "MRX38", "MRX43", "MRX54", "MRX76", "MRX87", "MRXS1", "NM_139058", "NP_620689", "PRTS", "aristaless related homeobox"]	NCBI:txid9606
ENSG00000004864	SLC25A13	solute carrier family 25 member 13 [Source:HGNC Symbol;Acc:HGNC:10983]	["ARALAR2", "CITRIN", "CTLN2", "ENTREZ:10165", "HGNC:10983", "MIM:603859", "NICCD", "NM_001160210", "NM_014251", "NP_001153682", "NP_055066", "NR_027662", "SLC25A13", "XM_006715831", "XM_011515727", "XM_017011663", "XM_017011664", "XM_017011665", "XP_006715894", "XP_011514029", "XP_016867152", "XP_016867153", "XP_016867154", "XR_001744525", "XR_002956405", "solute carrier family 25 member 13"]	NCBI:txid9606
ENSG00000004939	SLC4A1	solute carrier family 4 member 1 (Diego blood group) [Source:HGNC Symbol;Acc:HGNC:11027]	["AE1", "BND3", "CD233", "CHC", "DI", "EMPB3", "ENTREZ:6521", "EPB3", "FR", "HGNC:11027", "MIM:109270", "NM_000342", "NP_000333", "RTA1A", "SAO", "SLC4A1", "SPH4", "SW", "WD", "WD1", "WR", "XM_005257593", "XM_011525129", "XM_011525130", "XP_005257650", "XP_011523431", "XP_011523432", "solute carrier family 4 member 1 (Diego blood group)"]	NCBI:txid9606
ENSG00000004948	CALCR	calcitonin receptor [Source:HGNC Symbol;Acc:HGNC:1440]	["CALCR", "CRT", "CT-R", "CTR", "CTR1", "ENTREZ:799", "HGNC:1440", "MIM:114131", "NM_001164737", "NM_001164738", "NM_001742", "NP_001158209", "NP_001158210", "NP_001733", "calcitonin receptor"]	NCBI:txid9606
ENSG00000004961	HCCS	holocytochrome c synthase [Source:HGNC Symbol;Acc:HGNC:4837]	["CCHL", "ENTREZ:3052", "HCCS", "HGNC:4837", "LSDMCA1", "MCOPS7", "MIM:300056", "MLS", "NM_001122608", "NM_001171991", "NM_005333", "NP_001116080", "NP_001165462", "NP_005324", "XM_024452368", "XP_024308136", "holocytochrome c synthase"]	NCBI:txid9606
ENSG00000005022	SLC25A5	solute carrier family 25 member 5 [Source:HGNC Symbol;Acc:HGNC:10991]	["2F1", "AAC2", "ANT2", "ENTREZ:292", "HGNC:10991", "MIM:300150", "NM_001152", "NP_001143", "SLC25A5", "T2", "T3", "solute carrier family 25 member 5"]	NCBI:txid9606
ENSG00000005073	HOXA11	homeobox A11 [Source:HGNC Symbol;Acc:HGNC:5101]	["ENTREZ:3207", "HGNC:5101", "HOX1", "HOX1I", "HOXA11", "MIM:142958", "NM_005523", "NP_005514", "RUSAT1", "homeobox A11"]	NCBI:txid9606
ENSG00000005102	MEOX1	mesenchyme homeobox 1 [Source:HGNC Symbol;Acc:HGNC:7013]	["ENTREZ:4222", "HGNC:7013", "KFS2", "MEOX1", "MIM:600147", "MOX1", "NM_001040002", "NM_004527", "NM_013999", "NP_001035091", "NP_004518", "NP_054705", "XM_011524818", "XP_011523120", "mesenchyme homeobox 1"]	NCBI:txid9606
ENSG00000005156	LIG3	DNA ligase 3 [Source:HGNC Symbol;Acc:HGNC:6600]	["DNA ligase 3", "ENTREZ:3980", "HGNC:6600", "LIG2", "LIG3", "LIG3alpha", "MIM:600940", "NM_002311", "NM_013975", "NP_002302", "NP_039269", "XM_005257970", "XM_006721896", "XM_017024624", "XP_005258027", "XP_006721959", "XP_016880113"]	NCBI:txid9606
ENSG00000005187	ACSM3	acyl-CoA synthetase medium chain family member 3 [Source:HGNC Symbol;Acc:HGNC:10522]	["ACSM3", "ENTREZ:6296", "HGNC:10522", "MIM:145505", "NM_005622", "NM_202000", "NP_005613", "NP_973729", "SA", "SAH", "XM_011545911", "XM_017023523", "XM_024450367", "XM_024450368", "XM_024450369", "XM_024450370", "XM_024450371", "XP_011544213", "XP_016879012", "XP_024306135", "XP_024306136", "XP_024306137", "XP_024306138", "XP_024306139", "XR_002957833", "acyl-CoA synthetase medium chain family member 3"]	NCBI:txid9606
ENSG00000005206	SPPL2B	signal peptide peptidase like 2B [Source:HGNC Symbol;Acc:HGNC:30627]	["ENTREZ:56928", "HGNC:30627", "IMP-4", "IMP4", "MIM:608239", "NM_001077238", "NM_152988", "NP_001070706", "NP_694533", "PSH4", "PSL1", "SPPL2B", "XM_011528138", "XM_011528139", "XM_011528140", "XM_017027016", "XM_017027017", "XM_017027018", "XM_017027019", "XM_024451619", "XP_011526440", "XP_011526441", "XP_011526442", "XP_016882505", "XP_016882506", "XP_016882507", "XP_016882508", "XP_024307387", "XR_001753719", "XR_001753720", "XR_001753721", "XR_001753722", "XR_002958334", "signal peptide peptidase like 2B"]	NCBI:txid9606
ENSG00000005302	MSL3	MSL complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:7370]	["ENTREZ:10943", "HGNC:7370", "MIM:300609", "MRSXBA", "MRXS36", "MRXSBA", "MSL complex subunit 3", "MSL3", "MSL3L1", "NM_001193270", "NM_001282174", "NM_006800", "NM_078628", "NM_078629", "NM_078630", "NP_001180199", "NP_001269103", "NP_006791", "NP_523352", "NP_523353"]	NCBI:txid9606
ENSG00000005339	CREBBP	CREB binding protein [Source:HGNC Symbol;Acc:HGNC:2348]	["CBP", "CREB binding protein", "CREBBP", "ENTREZ:1387", "HGNC:2348", "KAT3A", "MIM:600140", "MKHK1", "NM_001079846", "NM_004380", "NP_001073315", "NP_004371", "RSTS", "RSTS1", "XM_005255124", "XM_005255125", "XM_006720848", "XM_011522381", "XM_011522382", "XM_017022944", "XP_005255181", "XP_005255182", "XP_006720911", "XP_011520683", "XP_011520684", "XP_016878433"]	NCBI:txid9606
ENSG00000005379	TSPOAP1	TSPO associated protein 1 [Source:HGNC Symbol;Acc:HGNC:16831]	["BZRAP1", "ENTREZ:9256", "HGNC:16831", "MIM:610764", "NM_001261835", "NM_004758", "NM_024418", "NP_001248764", "NP_004749", "NP_077729", "PBR-IP", "PRAX-1", "PRAX1", "RIM-BP1", "RIMBP1", "TSPO associated protein 1", "TSPOAP1"]	NCBI:txid9606
ENSG00000005381	MPO	myeloperoxidase [Source:HGNC Symbol;Acc:HGNC:7218]	["ENTREZ:4353", "HGNC:7218", "MIM:606989", "MPO", "NM_000250", "NP_000241", "myeloperoxidase"]	NCBI:txid9606
ENSG00000005421	PON1	paraoxonase 1 [Source:HGNC Symbol;Acc:HGNC:9204]	["ENTREZ:5444", "ESA", "HGNC:9204", "MIM:168820", "MVCD5", "NM_000446", "NP_000437", "PON", "PON1", "paraoxonase 1"]	NCBI:txid9606
ENSG00000005471	ABCB4	ATP binding cassette subfamily B member 4 [Source:HGNC Symbol;Acc:HGNC:45]	["ABC21", "ABCB4", "ATP binding cassette subfamily B member 4", "ENTREZ:5244", "GBD1", "HGNC:45", "ICP3", "MDR2", "MDR2/3", "MDR3", "MIM:171060", "NM_000443", "NM_018849", "NM_018850", "NP_000434", "NP_061337", "NP_061338", "PFIC-3", "PGY3", "XM_011516308", "XM_011516309", "XM_011516310", "XM_011516311", "XM_011516312", "XM_011516313", "XM_011516315", "XM_017012323", "XP_011514610", "XP_011514611", "XP_011514612", "XP_011514613", "XP_011514614", "XP_011514615", "XP_011514617", "XP_016867812", "XR_001744809", "XR_001744810"]	NCBI:txid9606
ENSG00000005483	KMT2E	lysine methyltransferase 2E (inactive) [Source:HGNC Symbol;Acc:HGNC:18541]	["ENTREZ:55904", "HDCMC04P", "HGNC:18541", "KMT2E", "MIM:608444", "MLL5", "NKp44L", "NM_018682", "NM_032187", "NM_182931", "NP_061152", "NP_891847", "ODLURO", "XM_005250493", "XM_011516400", "XM_017012435", "XM_024446837", "XP_005250550", "XP_011514702", "XP_016867924", "XP_024302605", "XR_001744836", "lysine methyltransferase 2E (inactive)"]	NCBI:txid9606
ENSG00000005812	FBXL3	F-box and leucine rich repeat protein 3 [Source:HGNC Symbol;Acc:HGNC:13599]	["ENTREZ:26224", "F-box and leucine rich repeat protein 3", "FBL3", "FBL3A", "FBXL3", "FBXL3A", "HGNC:13599", "IDDSFAS", "MIM:605653", "NM_012158", "NP_036290", "XM_005266336", "XM_005266337", "XM_017020538", "XP_005266393", "XP_005266394", "XP_016876027"]	NCBI:txid9606
ENSG00000005882	PDK2	pyruvate dehydrogenase kinase 2 [Source:HGNC Symbol;Acc:HGNC:8810]	["ENTREZ:5164", "HGNC:8810", "MIM:602525", "NM_001199898", "NM_001199899", "NM_001199900", "NM_002611", "NP_001186827", "NP_001186828", "NP_001186829", "NP_002602", "PDHK2", "PDK2", "PDKII", "pyruvate dehydrogenase kinase 2"]	NCBI:txid9606
ENSG00000005884	ITGA3	integrin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6139]	["CD49C", "ENTREZ:3675", "FRP-2", "GAP-B3", "GAPB3", "HGNC:6139", "ILNEB", "ITGA3", "MIM:605025", "MSK18", "NM_002204", "NM_005501", "NP_002195", "VCA-2", "VL3A", "VLA3a", "XM_005257308", "XP_005257365", "XR_001752507", "integrin subunit alpha 3"]	NCBI:txid9606
ENSG00000005889	ZFX	zinc finger protein X-linked [Source:HGNC Symbol;Acc:HGNC:12869]	["ENTREZ:7543", "HGNC:12869", "MIM:314980", "NM_001178084", "NM_001178085", "NM_001178086", "NM_001178095", "NM_001330327", "NM_003410", "NP_001171555", "NP_001171556", "NP_001171557", "NP_001171566", "NP_001317256", "NP_003401", "XM_005274591", "XM_005274592", "XM_005274594", "XM_006724513", "XM_011545579", "XM_011545581", "XM_011545583", "XM_017029788", "XM_017029789", "XM_017029790", "XM_017029791", "XM_017029792", "XM_017029793", "XM_017029794", "XM_017029795", "XM_017029796", "XM_017029797", "XM_017029798", "XM_017029799", "XM_017029800", "XM_017029801", "XM_024452440", "XP_005274648", "XP_005274649", "XP_005274651", "XP_006724576", "XP_011543881", "XP_011543883", "XP_011543885", "XP_016885277", "XP_016885278", "XP_016885279", "XP_016885280", "XP_016885281", "XP_016885282", "XP_016885283", "XP_016885284", "XP_016885285", "XP_016885286", "XP_016885287", "XP_016885288", "XP_016885289", "XP_016885290", "XP_024308208", "ZFX", "ZNF926", "zinc finger protein X-linked"]	NCBI:txid9606
ENSG00000005893	LAMP2	lysosomal associated membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:6501]	["CD107b", "DND", "ENTREZ:3920", "HGNC:6501", "LAMP-2", "LAMP2", "LAMPB", "LGP-96", "LGP110", "MIM:309060", "NM_001122606", "NM_002294", "NM_013995", "NP_001116078", "NP_002285", "NP_054701", "lysosomal associated membrane protein 2"]	NCBI:txid9606
ENSG00000005961	ITGA2B	integrin subunit alpha 2b [Source:HGNC Symbol;Acc:HGNC:6138]	["BDPLT16", "BDPLT2", "CD41", "CD41B", "ENTREZ:3674", "GP2B", "GPIIb", "GT", "GTA", "HGNC:6138", "HPA3", "ITGA2B", "MIM:607759", "NM_000419", "NP_000410", "PPP1R93", "XM_011524749", "XM_011524750", "XP_011523051", "XP_011523052", "integrin subunit alpha 2b"]	NCBI:txid9606
ENSG00000005981	ASB4	ankyrin repeat and SOCS box containing 4 [Source:HGNC Symbol;Acc:HGNC:16009]	["ASB-4", "ASB4", "ENTREZ:51666", "HGNC:16009", "MIM:605761", "NM_016116", "NM_145872", "NP_057200", "NP_665879", "XM_017012303", "XP_016867792", "ankyrin repeat and SOCS box containing 4"]	NCBI:txid9606
ENSG00000006016	CRLF1	cytokine receptor like factor 1 [Source:HGNC Symbol;Acc:HGNC:2364]	["CISS", "CISS1", "CLF", "CLF-1", "CRLF1", "ENTREZ:9244", "HGNC:2364", "MIM:604237", "NM_004750", "NP_004741", "NR6", "cytokine receptor like factor 1", "zcytor5"]	NCBI:txid9606
ENSG00000006042	TMEM98	transmembrane protein 98 [Source:HGNC Symbol;Acc:HGNC:24529]	["ENTREZ:26022", "HGNC:24529", "MIM:615949", "NM_001033504", "NM_001301746", "NM_015544", "NP_001028676", "NP_001288675", "NP_056359", "TADA1", "TMEM98", "transmembrane protein 98"]	NCBI:txid9606
ENSG00000006071	ABCC8	ATP binding cassette subfamily C member 8 [Source:HGNC Symbol;Acc:HGNC:59]	["ABC36", "ABCC8", "ATP binding cassette subfamily C member 8", "ENTREZ:6833", "HGNC:59", "HHF1", "HI", "HRINS", "MIM:600509", "MRP8", "NM_000352", "NM_001287174", "NM_001351295", "NM_001351296", "NM_001351297", "NP_000343", "NP_001274103", "NP_001338224", "NP_001338225", "NP_001338226", "NR_147094", "PHHI", "PNDM3", "SUR", "SUR1", "SUR1delta2", "TNDM2", "XM_017018197", "XM_017018199", "XM_017018201", "XM_017018202", "XM_017018204", "XM_024448668", "XP_016873686", "XP_016873688", "XP_016873690", "XP_016873691", "XP_016873693", "XP_024304436", "XR_001747945", "XR_001747946", "XR_002957189"]	NCBI:txid9606
ENSG00000006283	CACNA1G	calcium voltage-gated channel subunit alpha1 G [Source:HGNC Symbol;Acc:HGNC:1394]	["CACNA1G", "Ca(V)T.1", "Cav3.1", "ENTREZ:8913", "HGNC:1394", "MIM:604065", "NBR13", "NM_001256324", "NM_001256325", "NM_001256326", "NM_001256327", "NM_001256328", "NM_001256329", "NM_001256330", "NM_001256331", "NM_001256332", "NM_001256333", "NM_001256334", "NM_001256359", "NM_001256360", "NM_001256361", "NM_018896", "NM_198376", "NM_198377", "NM_198378", "NM_198379", "NM_198380", "NM_198382", "NM_198383", "NM_198384", "NM_198385", "NM_198386", "NM_198387", "NM_198388", "NM_198396", "NM_198397", "NP_001243253", "NP_001243254", "NP_001243255", "NP_001243256", "NP_001243257", "NP_001243258", "NP_001243259", "NP_001243260", "NP_001243261", "NP_001243262", "NP_001243263", "NP_001243288", "NP_001243289", "NP_001243290", "NP_061496", "NP_938190", "NP_938191", "NP_938192", "NP_938193", "NP_938194", "NP_938196", "NP_938197", "NP_938198", "NP_938199", "NP_938200", "NP_938201", "NP_938202", "NP_938406", "NR_046054", "NR_046055", "NR_046056", "NR_046057", "NR_046058", "SCA42", "SCA42ND", "XM_006722160", "XM_006722161", "XP_006722223", "XP_006722224", "calcium voltage-gated channel subunit alpha1 G"]	NCBI:txid9606
ENSG00000006451	RALA	RAS like proto-oncogene A [Source:HGNC Symbol;Acc:HGNC:9839]	["ENTREZ:5898", "HGNC:9839", "MIM:179550", "NM_005402", "NP_005393", "RAL", "RALA", "RAS like proto-oncogene A", "XM_006715762", "XM_011515466", "XM_011515467", "XP_006715825", "XP_011513768", "XP_011513769"]	NCBI:txid9606
ENSG00000006530	AGK	acylglycerol kinase [Source:HGNC Symbol;Acc:HGNC:21869]	["AGK", "CATC5", "CTRCT38", "ENTREZ:55750", "HGNC:21869", "MIM:610345", "MTDPS10", "MULK", "NM_001364948", "NM_018238", "NP_001351877", "NP_060708", "XM_011516397", "XM_024446835", "XP_011514699", "XP_024302603", "acylglycerol kinase"]	NCBI:txid9606
ENSG00000006534	ALDH3B1	aldehyde dehydrogenase 3 family member B1 [Source:HGNC Symbol;Acc:HGNC:410]	["ALDH3B1", "ALDH4", "ALDH7", "ENTREZ:221", "HGNC:410", "MIM:600466", "NM_000694", "NM_001030010", "NM_001161473", "NM_001290058", "NM_001290059", "NP_000685", "NP_001025181", "NP_001154945", "NP_001276987", "NP_001276988", "aldehyde dehydrogenase 3 family member B1"]	NCBI:txid9606
ENSG00000006606	CCL26	C-C motif chemokine ligand 26 [Source:HGNC Symbol;Acc:HGNC:10625]	["C-C motif chemokine ligand 26", "CCL26", "ENTREZ:10344", "HGNC:10625", "IMAC", "MIM:604697", "MIP-4a", "MIP-4alpha", "NM_001371936", "NM_001371938", "NM_006072", "NP_001358865", "NP_001358867", "NP_006063", "SCYA26", "TSC-1"]	NCBI:txid9606
ENSG00000006611	USH1C	USH1 protein network component harmonin [Source:HGNC Symbol;Acc:HGNC:12597]	["AIE-75", "DFNB18", "DFNB18A", "ENTREZ:10083", "HGNC:12597", "MIM:605242", "NM_001297764", "NM_005709", "NM_153676", "NP_001284693", "NP_005700", "NP_710142", "NR_123738", "NY-CO-37", "NY-CO-38", "PDZ-45", "PDZ-73", "PDZ-73/NY-CO-38", "PDZ73", "PDZD7C", "USH1 protein network component harmonin", "USH1C", "XM_011519832", "XM_011519834", "XM_017017072", "XM_017017073", "XM_017017074", "XM_017017075", "XP_011518134", "XP_011518136", "XP_016872561", "XP_016872562", "XP_016872563", "XP_016872564", "XR_001747717", "XR_930841", "XR_930842", "ush1cpst"]	NCBI:txid9606
ENSG00000006652	IFRD1	interferon related developmental regulator 1 [Source:HGNC Symbol;Acc:HGNC:5456]	["ENTREZ:3475", "HGNC:5456", "IFRD1", "MIM:603502", "NM_001007245", "NM_001197079", "NM_001197080", "NM_001550", "NP_001007246", "NP_001184008", "NP_001184009", "NP_001541", "NR_120333", "PC4", "TIS7", "interferon related developmental regulator 1"]	NCBI:txid9606
